taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
3YNPB,Medicago sativa L.,3YNPB,Medicago sativa L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Medicago,9CLB5,Medicago sativa,3YNPB,LC
H6D2,Asclepias engelmanniana Woodson,H6D2,Asclepias engelmanniana Woodson,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Apocynaceae,6L2,Asclepias,33PC,Asclepias engelmanniana,H6D2,
3WN4L,Lycopus americanus Muhl. ex W.P.C.Barton,3WN4L,Lycopus americanus Muhl. ex W.P.C.Barton,8,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Lamiaceae,PR82T,Lycopus,8VZ38,Lycopus americanus,3WN4L,LC
3PXCZ,Ipomopsis spicata (Nutt.) V.E.Grant,3PXCZ,Ipomopsis spicata (Nutt.) V.E.Grant,10,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ericales,625QY,Polemoniaceae,627H7,Ipomopsis,638B5,Ipomopsis spicata,3PXCZ,
7CLV2,Tradescantia occidentalis (Britton) Smyth,7CLV2,Tradescantia occidentalis (Britton) Smyth,71,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Commelinales,ZC,Commelinaceae,8GR,Tradescantia,8W49J,Tradescantia occidentalis,7CLV2,LC
5KLW4,Populus deltoides subsp. monilifera (Aiton) Eckenw.,5KLW4,Populus deltoides subsp. monilifera (Aiton) Eckenw.,2,SUBSPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Malpighiales,MLP,Salicaceae,FWG,Populus,63PVP,Populus deltoides,4LVKV,
3ZSKW,Mentzelia nuda (Pursh) Torr. & A.Gray,3ZSKW,Mentzelia nuda (Pursh) Torr. & A.Gray,11,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Cornales,ZT,Loasaceae,C5K,Mentzelia,5P5Z,Mentzelia nuda,3ZSKW,
58PTZ,Trifolium fragiferum L.,58PTZ,Trifolium fragiferum L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Trifolium,9CM9W,Trifolium fragiferum,58PTZ,
CXG9X,Mirabilis nyctaginea (Michx.) MacMill.,CXG9X,Mirabilis nyctaginea (Michx.) MacMill.,1,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Nyctaginaceae,DG4,Mirabilis,5TK9,Mirabilis nyctaginea,CXG9X,
77VNF,Potamogeton foliosus Raf.,77VNF,Potamogeton foliosus Raf.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Alismatales,62287,Potamogetonaceae,627N6,Potamogeton,8W2N8,Potamogeton foliosus,77VNF,LC
