"genus","species","scientific_name","common_name"
"Capsella","bursa-pastoris","Capsella bursa-pastoris"," Shepherd's-Purse"
"Cardamine","angustata","Cardamine angustata"," Slender Toothwort"
"Cardamine","bulbosa","Cardamine bulbosa"," Bulbous Bittercress"
"Cardamine","concatenata","Cardamine concatenata"," Cut-Leaf Toothwort"
"Cardamine","hirsuta","Cardamine hirsuta"," Hairy Bittercress"
"Cardamine","parviflora","Cardamine parviflora"," Sand Bittercress"
"Cardamine","pensylvanica","Cardamine pensylvanica"," Quaker Bittercress"
"Cardamine","pratensis","Cardamine pratensis"," Cuckoo-Flower"
"Carduus","acanthoides","Carduus acanthoides"," Spiny Plumeless-Thistle"
"Carduus","nutans","Carduus nutans"," Nodding Plumeless-Thistle"
"Carex","aestivalis","Carex aestivalis"," Summer Sedge"
"Carex","aggregata","Carex aggregata"," Glomerate Sedge"
"Carex","albicans","Carex albicans"," White-Tinge Sedge"
"Carex","albicans","Carex albicans"," var. albicans"
"Carex","albursina","Carex albursina"," White Bear Sedge"
"Carex","amphibola","Carex amphibola"," Eastern Narrow-Leaf Sedge"
"Carex","appalachica","Carex appalachica"," Appalachian Sedge"
"Carex","argyrantha","Carex argyrantha"," Hay Sedge"
"Carex","atherodes","Carex atherodes"," Wheat Sedge"
"Carex","atlantica","Carex atlantica"," Prickly Bog Sedge"
"Carex","atlantica","Carex atlantica"," ssp. atlantica"
"Carex","baileyi","Carex baileyi"," Bailey's Sedge"
"Carex","blanda","Carex blanda"," Eastern Woodland Sedge"
"Carex","brevior","Carex brevior"," Short-Beak Sedge"
"Carex","bromoides","Carex bromoides"," Brome-Like Sedge"
"Carex","bromoides","Carex bromoides"," ssp. bromoides"
"Carex","brunnescens","Carex brunnescens"," Brownish Sedge"
"Carex","brunnescens","Carex brunnescens"," ssp. sphaerostachya"
"Carex","bushii","Carex bushii"," Bush's Sedge"
"Carex","careyana","Carex careyana"," Carey's Sedge"
"Carex","caroliniana","Carex caroliniana"," Carolina Sedge"
"Carex","cephalophora","Carex cephalophora"," Oval-Leaf Sedge"
"Carex","communis","Carex communis"," Fibrous-Root Sedge"
"Carex","communis","Carex communis"," var. communis"
"Carex","comosa","Carex comosa"," Bearded Sedge"
"Carex","conjuncta","Carex conjuncta"," Soft Fox Sedge"
"Carex","crebriflora","Carex crebriflora"," Coastal-Plain Sedge"
"Carex","crinita","Carex crinita"," Fringed Sedge"
"Carex","crinita","Carex crinita"," var. crinita"
"Carex","cristatella","Carex cristatella"," Crested Sedge"
"Carex","debilis","Carex debilis"," White-Edge Sedge"
"Carex","digitalis","Carex digitalis"," Slender Woodland Sedge"
"Carex","digitalis","Carex digitalis"," var. digitalis"
"Carex","eburnea","Carex eburnea"," Bristle-Leaf Sedge"
"Carex","echinata","Carex echinata"," Star Sedge"
"Carex","echinata","Carex echinata"," ssp. echinata"
"Carex","emoryi","Carex emoryi"," Emory's Sedge"
"Carex","flaccosperma","Carex flaccosperma"," Thin-Fruit Sedge"
"Carex","frankii","Carex frankii"," Frank's Sedge"
"Carex","gracilescens","Carex gracilescens"," Slender Loose-Flower Sedge"
"Carex","gracillima","Carex gracillima"," Graceful Sedge"
"Carex","granularis","Carex granularis"," Limestone-Meadow Sedge"
"Carex","grisea","Carex grisea"," Inflated Narrow-Leaf Sedge"
"Carex","gynandra","Carex gynandra"," Nodding Sedge"
"Carex","hirsutella","Carex hirsutella"," Fuzzy-Wuzzy Sedge"
"Carex","hirtifolia","Carex hirtifolia"," Pubescent Sedge"
"Carex","hystericina","Carex hystericina"," Porcupine Sedge"
"Carex","interior","Carex interior"," Inland Sedge"
"Carex","intumescens","Carex intumescens"," Greater Bladder Sedge"
"Carex","jamesii","Carex jamesii"," James' Sedge"
"Carex","laevivaginata","Carex laevivaginata"," Smooth-Sheath Sedge"
"Carex","lasiocarpa","Carex lasiocarpa"," Woolly-Fruit Sedge"
"Carex","lasiocarpa","Carex lasiocarpa"," var. americana"
"Carex","laxiculmis","Carex laxiculmis"," Spreading Sedge"
"Carex","laxiflora","Carex laxiflora"," Broad Loose-Flower Sedge"
"Carex","leptalea","Carex leptalea"," Bristly-Stalk Sedge"
"Carex","leptalea","Carex leptalea"," ssp. leptalea"
"Carex","lupulina","Carex lupulina"," Hop Sedge"
"Carex","lurida","Carex lurida"," Shallow Sedge"
"Carex","mesochorea","Carex mesochorea"," Midland Sedge"
"Carex","molesta","Carex molesta"," Troublesome Sedge"
"Carex","molestiformis","Carex molestiformis"," Ozark Plateau Sedge"
"Carex","muehlenbergii","Carex muehlenbergii"," Muhlenberg's Sedge"
"Carex","muehlenbergii","Carex muehlenbergii"," var. muehlenbergii"
"Carex","nigromarginata","Carex nigromarginata"," Black-Edge Sedge"
"Carex","normalis","Carex normalis"," Greater Straw Sedge"
"Carex","oligocarpa","Carex oligocarpa"," Richwoods Sedge"
"Carex","pellita","Carex pellita"," Woolly Sedge"
"Carex","pensylvanica","Carex pensylvanica"," Pennsylvania Sedge"
"Carex","planispicata","Carex planispicata"," Flat-Spiked Sedge"
"Carex","platyphylla","Carex platyphylla"," Broad-Leaf Sedge"
"Carex","polymorpha","Carex polymorpha"," Variable Sedge"
"Carex","prairea","Carex prairea"," Prairie Sedge"
"Carex","prasina","Carex prasina"," Drooping Sedge"
"Carex","radiata","Carex radiata"," Eastern Star Sedge"
"Carex","retroflexa","Carex retroflexa"," Reflexed Sedge"
"Carex","rosea","Carex rosea"," Rosy Sedge"
"Carex","scabrata","Carex scabrata"," Eastern Rough Sedge"
"Carex","scoparia","Carex scoparia"," Pointed Broom Sedge"
"Carex","seorsa","Carex seorsa"," Weak Stellate Sedge"
"Carex","shortiana","Carex shortiana"," Short's Sedge"
"Carex","sparganioides","Carex sparganioides"," Burr-Reed Sedge"
"Carex","squarrosa","Carex squarrosa"," Squarrose Sedge"
"Carex","stipata","Carex stipata"," Stalk-Grain Sedge"
"Carex","stipata","Carex stipata"," var. stipata"
"Carex","striatula","Carex striatula"," Lined Sedge"
"Carex","stricta","Carex stricta"," Uptight Sedge"
"Carex","styloflexa","Carex styloflexa"," Bent Sedge"
"Carex","suberecta","Carex suberecta"," Prairie Straw Sedge"
"Carex","swanii","Carex swanii"," Swan's Sedge"
"Carex","tetanica","Carex tetanica"," Rigid Sedge"
"Carex","torta","Carex torta"," Twisted Sedge"
"Carex","tribuloides","Carex tribuloides"," Blunt Broom Sedge"
"Carex","tribuloides","Carex tribuloides"," var. tribuloides"
"Carex","trichocarpa","Carex trichocarpa"," Hairy-Fruit Sedge"
"Carex","typhina","Carex typhina"," Cat-Tail Sedge"
"Carex","umbellata","Carex umbellata"," Parasol Sedge"
"Carex","utriculata","Carex utriculata"," Northwest Territory Sedge"
"Carex","vesicaria","Carex vesicaria"," Lesser Bladder Sedge"
"Carex","vesicaria","Carex vesicaria"," var. monile"
"Carex","virescens","Carex virescens"," Ribbed Sedge"
"Carex","vulpinoidea","Carex vulpinoidea"," Common Fox Sedge"
"Carex","willdenowii","Carex willdenowii"," Willdenow's Sedge"
"Carex","woodii","Carex woodii"," Pretty Sedge"
"Carpinus","caroliniana","Carpinus caroliniana"," American Hornbeam"
"Carpinus","caroliniana","Carpinus caroliniana"," ssp. virginiana"
"Carya","cordiformis","Carya cordiformis"," Bitter-Nut Hickory"
"Carya","glabra","Carya glabra"," Pignut Hickory"
"Carya","ovata","Carya ovata"," Shag-Bark Hickory"
"Carya","tomentosa","Carya tomentosa"," Mockernut Hickory"
"Castanea","dentata","Castanea dentata"," American Chestnut"
"Castanea","pumila","Castanea pumila"," Allegheny-Chinkapin"
"Castilleja","coccinea","Castilleja coccinea"," Scarlet Indian-Paintbrush"
"Catalpa","speciosa","Catalpa speciosa"," Northern Catalpa"
"Caulophyllum","giganteum","Caulophyllum giganteum"," Giant Blue Cohosh"
"Caulophyllum","thalictroides","Caulophyllum thalictroides"," Blue Cohosh"
"Ceanothus","americanus","Ceanothus americanus"," New Jersey-Tea"
"Celastrus","orbiculatus","Celastrus orbiculatus"," Asian Bittersweet"
"Celastrus","scandens","Celastrus scandens"," American Bittersweet"
"Celtis","laevigata","Celtis laevigata"," Sugar-Berry"
"Celtis","occidentalis","Celtis occidentalis"," Common Hackberry"
"Celtis","tenuifolia","Celtis tenuifolia"," Dwarf Hackberry"
"Cenchrus","incertus","Cenchrus incertus"," Coastal Sandburr"
"Cenchrus","longispinus","Cenchrus longispinus"," Innocent-Weed"
"Centaurea","jacea","Centaurea jacea"," Brown-Ray Knapweed"
"Centaurea","nigrescens","Centaurea nigrescens"," Tyrol Knapweed"
"Centaurea","stoebe","Centaurea stoebe"," Spotted Knapweed"
"Centaurea","stoebe","Centaurea stoebe"," ssp. micranthos"
"Cephalanthus","occidentalis","Cephalanthus occidentalis"," Common Buttonbush"
"Cerastium","arvense","Cerastium arvense"," Field Mouse-Ear Chickweed"
"Cerastium","arvense","Cerastium arvense"," ssp. strictum"
"Cerastium","fontanum","Cerastium fontanum"," Common Mouse-Ear Chickweed"
"Cerastium","fontanum","Cerastium fontanum"," ssp. vulgare"
"Cerastium","glomeratum","Cerastium glomeratum"," Sticky Mouse-Ear Chickweed"
"Cerastium","nutans","Cerastium nutans"," Nodding Mouse-Ear Chickweed"
"Cerastium","nutans","Cerastium nutans"," var. nutans"
"Cerastium","semidecandrum","Cerastium semidecandrum"," Five-Stamen Mouse-Ear Chickweed"
"Cerastium","velutinum","Cerastium velutinum"," Large Mouse-Ear Chickweed"
"Cerastium","velutinum","Cerastium velutinum"," var. velutinum"
"Ceratophyllum","demersum","Ceratophyllum demersum"," Coon's-Tail"
"Ceratophyllum","echinatum","Ceratophyllum echinatum"," Spineless Hornwort"
"Cercis","canadensis","Cercis canadensis"," Redbud"
"Cercis","canadensis","Cercis canadensis"," var. canadensis"
"Chaenorhinum","minus","Chaenorhinum minus"," Dwarf-Snapdragon"
"Chaerophyllum","procumbens","Chaerophyllum procumbens"," Spreading Chervil"
"Chaerophyllum","procumbens","Chaerophyllum procumbens"," var. procumbens"
"Chaerophyllum","tainturieri","Chaerophyllum tainturieri"," Hairy-Fruit Chervil"
"Chaiturus","marrubiastrum","Chaiturus marrubiastrum"," Lion's-Tail"
"Chamaecrista","fasciculata","Chamaecrista fasciculata"," Sleepingplant"
"Chamaecrista","fasciculata","Chamaecrista fasciculata"," var. fasciculata"
"Chamaecrista","nictitans","Chamaecrista nictitans"," Partridge-Pea"
"Chamaecrista","nictitans","Chamaecrista nictitans"," ssp. nictitans"
"Chamaecrista","nictitans","Chamaecrista nictitans"," ssp. nictitans var. nictitans"
"Chamaelirium","luteum","Chamaelirium luteum"," Fairywand"
"Chasmanthium","latifolium","Chasmanthium latifolium"," Indian Wood-Oats"
"Chelidonium","majus","Chelidonium majus"," Greater Celandine"
"Chelidonium","majus","Chelidonium majus"," var. majus"
"Chelone","glabra","Chelone glabra"," White Turtlehead"
