label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Asparagus officinalis L.,Asparagus officinalis,Asparagus officinalis L.,Plantae Tracheophyta Liliopsida Asparagales Asparagaceae Asparagus officinalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Asplenium pinnatifidum Nutt.,Asplenium pinnatifidum,Asplenium pinnatifidum Nutt.,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium pinnatifidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",Asplenium platyneuron,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium platyneuron,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén,Athyrium asplenioides,Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén,Plantae Tracheophyta Polypodiopsida Polypodiales Athyriaceae Athyrium asplenioides,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Barbarea sp.,Barbarea ,Barbarea sp.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Barbarea,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Barbarea vulgaris W.T. Aiton,Barbarea vulgaris,Barbarea vulgaris W.T. Aiton,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Barbarea vulgaris,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Belamcanda chinensis (L.) DC.,Iris domestica,Belamcanda chinensis (L.) DC.,Plantae Tracheophyta Liliopsida Asparagales Iridaceae Iris domestica,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Betula nigra L.,Betula nigra,Betula nigra L.,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Betula nigra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Botrychium dissectum Spreng.,Sceptridium dissectum,Botrychium dissectum Spreng.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Sceptridium dissectum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
