label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Carex striatula Michx.,Carex striatula,Carex striatula Michx.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex striatula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex vulpinoidea Michx.,Carex vulpinoidea,Carex vulpinoidea Michx.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex vulpinoidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carpinus caroliniana Walter,Carpinus caroliniana,Carpinus caroliniana Walter,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Carpinus caroliniana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya alba (L.) Nutt.,Carya alba,Carya alba (L.) Nutt.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya alba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carya glabra (Mill.) Sweet,Carya glabra,Carya glabra (Mill.) Sweet,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carya ovalis (Wangenh.) Sarg.,Carya ovalis,Carya ovalis (Wangenh.) Sarg.,Plantae Tracheophyta Magnoliopsida Fagales Juglandaceae Carya ovalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Castanea dentata (Marshall) Borkh.,Castanea dentata,Castanea dentata (Marshall) Borkh.,Plantae Tracheophyta Magnoliopsida Fagales Fagaceae Castanea dentata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Celastrus orbiculatus Thunb.,Celastrus orbiculatus,Celastrus orbiculatus Thunb.,Plantae Tracheophyta Magnoliopsida Celastrales Celastraceae Celastrus orbiculatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Celtis occidentalis L.,Celtis occidentalis,Celtis occidentalis L.,Plantae Tracheophyta Magnoliopsida Rosales Cannabaceae Celtis occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Centaurea stoebe L.,Centaurea stoebe,Centaurea stoebe L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Centaurea stoebe,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cercis canadensis L.,Cercis canadensis,Cercis canadensis L.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Cercis canadensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Chamaelirium luteum (L.) A.Gray,Chamaelirium luteum,Chamaelirium luteum (L.) A.Gray,Plantae Tracheophyta Liliopsida Liliales Melanthiaceae Chamaelirium luteum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Chelidonium majus L.,Chelidonium majus,Chelidonium majus L.,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Chelidonium majus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Chelone glabra L.,Chelone glabra,Chelone glabra L.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Chelone glabra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Chimaphila maculata (L.) Pursh,Chimaphila maculata,Chimaphila maculata (L.) Pursh,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Chimaphila maculata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Chionanthus virginicus L.,Chionanthus virginicus,Chionanthus virginicus L.,Plantae Tracheophyta Magnoliopsida Lamiales Oleaceae Chionanthus virginicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Chrysosplenium americanum Schwein. ex Hook.,Chrysosplenium americanum,Chrysosplenium americanum Schwein. ex Hook.,Plantae Tracheophyta Magnoliopsida Saxifragales Saxifragaceae Chrysosplenium americanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Circaea canadensis (L.) Hill,Circaea canadensis,Circaea canadensis (L.) Hill,Plantae Tracheophyta Magnoliopsida Myrtales Onagraceae Circaea canadensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Circaea lutetiana L.,Circaea lutetiana,Circaea lutetiana L.,Plantae Tracheophyta Magnoliopsida Myrtales Onagraceae Circaea lutetiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Cirsium discolor (Muhl. ex Willd.) Spreng.,Cirsium discolor,Cirsium discolor (Muhl. ex Willd.) Spreng.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Cirsium discolor,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Clematis virginiana L.,Clematis virginiana,Clematis virginiana L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Clematis virginiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Clinopodium vulgare L.,Clinopodium vulgare,Clinopodium vulgare L.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Clinopodium vulgare,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Collinsonia canadensis L.,Collinsonia canadensis,Collinsonia canadensis L.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Collinsonia canadensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Commelina communis L.,Commelina communis,Commelina communis L.,Plantae Tracheophyta Liliopsida Commelinales Commelinaceae Commelina communis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Conium maculatum L.,Conium maculatum,Conium maculatum L.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Conium maculatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Conopholis americana (L.) Wallr.,Conopholis americana,Conopholis americana (L.) Wallr.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Conopholis americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Convolvulus arvensis L.,Convolvulus arvensis,Convolvulus arvensis L.,Plantae Tracheophyta Magnoliopsida Solanales Convolvulaceae Convolvulus arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Corallorhiza odontorhiza (Willd.) Nutt.,Corallorhiza odontorhiza,Corallorhiza odontorhiza (Willd.) Nutt.,Plantae Tracheophyta Liliopsida Asparagales Orchidaceae Corallorhiza odontorhiza,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Corallorhiza wisteriana Conrad,Corallorhiza wisteriana,Corallorhiza wisteriana Conrad,Plantae Tracheophyta Liliopsida Asparagales Orchidaceae Corallorhiza wisteriana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cornus alternifolia L.fil.,Cornus alternifolia,Cornus alternifolia L.fil.,Plantae Tracheophyta Magnoliopsida Cornales Cornaceae Cornus alternifolia,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Cornus florida L.,Cornus florida,Cornus florida L.,Plantae Tracheophyta Magnoliopsida Cornales Cornaceae Cornus florida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Corydalis flavula (Raf.) DC.,Corydalis flavula,Corydalis flavula (Raf.) DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Papaveraceae Corydalis flavula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Corylus cornuta Marshall,Corylus cornuta,Corylus cornuta Marshall,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Corylus cornuta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cosmos bipinnatus Cav.,Cosmos bipinnatus,Cosmos bipinnatus Cav.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Cosmos bipinnatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Crataegus L.,Crataegus ,Crataegus L.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Crataegus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Crataegus chrysocarpa Ashe,Crataegus chrysocarpa,Crataegus chrysocarpa Ashe,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Crataegus chrysocarpa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cryptotaenia canadensis (L.) DC.,Cryptotaenia canadensis,Cryptotaenia canadensis (L.) DC.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Cryptotaenia canadensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cunila origanoides (L.) Britton,Cunila origanoides,Cunila origanoides (L.) Britton,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Cunila origanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Cuscuta gronovii Willd. ex Schult.,Cuscuta gronovii,Cuscuta gronovii Willd. ex Schult.,Plantae Tracheophyta Magnoliopsida Solanales Convolvulaceae Cuscuta gronovii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
