label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Astragalus gracilis Fraser ex Nutt.,Astragalus gracilis,Astragalus gracilis Fraser ex Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gracilis,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Astragalus hyalinus M.E.Jones,Astragalus hyalinus,Astragalus hyalinus M.E.Jones,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus hyalinus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus hypoglottis subsp. hypoglottis,Astragalus hypoglottis,Astragalus hypoglottis subsp. hypoglottis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus hypoglottis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus kentrophyta A.Gray,Astragalus kentrophyta,Astragalus kentrophyta A.Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus kentrophyta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus laxmannii Jacq.,Astragalus laxmannii,Astragalus laxmannii Jacq.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus laxmannii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus lotiflorus Hook.,Astragalus lotiflorus,Astragalus lotiflorus Hook.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus lotiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus missouriensis Nutt.,Astragalus missouriensis,Astragalus missouriensis Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus missouriensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus mollissimus Torr.,Astragalus mollissimus,Astragalus mollissimus Torr.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus mollissimus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus multiflorus (Pursh) A.Gray,Astragalus tenellus,Astragalus multiflorus (Pursh) A.Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus tenellus,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Astragalus parryi A.Gray,Astragalus parryi,Astragalus parryi A.Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus parryi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus pectinatus (Hook.) Douglas ex G.Don,Astragalus pectinatus,Astragalus pectinatus (Hook.) Douglas ex G.Don,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus pectinatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus sericoleucus A.Gray,Astragalus sericoleucus,Astragalus sericoleucus A.Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus sericoleucus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus spatulatus E.Sheld.,Astragalus spatulatus,Astragalus spatulatus E.Sheld.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus spatulatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Atriplex canescens (Pursh) Nutt.,Atriplex canescens,Atriplex canescens (Pursh) Nutt.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Atriplex gardneri (Moq.) D.Dietr.,Atriplex gardneri,Atriplex gardneri (Moq.) D.Dietr.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex gardneri,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Atriplex patula L.,Atriplex patula,Atriplex patula L.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex patula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Avena sativa L.,Avena sativa,Avena sativa L.,Plantae Tracheophyta Liliopsida Poales Poaceae Avena sativa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bacopa rotundifolia (Michx.) Wettst.,Bacopa rotundifolia,Bacopa rotundifolia (Michx.) Wettst.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Bacopa rotundifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bassia scoparia (L.) Beck,Bassia scoparia,Bassia scoparia (L.) Beck,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Bassia scoparia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Beckmannia syzigachne (Steud.) Fernald,Beckmannia syzigachne,Beckmannia syzigachne (Steud.) Fernald,Plantae Tracheophyta Liliopsida Poales Poaceae Beckmannia syzigachne,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Berula erecta (Huds.) Coville,Berula erecta,Berula erecta (Huds.) Coville,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Berula erecta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bidens frondosa L.,Bidens frondosa,Bidens frondosa L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Bidens frondosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bidens tripartita L.,Bidens tripartita,Bidens tripartita L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Bidens tripartita,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Blitum nuttallianum Roem. & Schult.,Blitum nuttallianum,Blitum nuttallianum Roem. & Schult.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Blitum nuttallianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bolboschoenus maritimus subsp. paludosus (A.Nelson) T.Koyama,Bolboschoenus maritimus,Bolboschoenus maritimus subsp. paludosus (A.Nelson) T.Koyama,Plantae Tracheophyta Liliopsida Poales Cyperaceae Bolboschoenus maritimus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
