label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Asclepias speciosa,Asclepias speciosa,Asclepias speciosa,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias speciosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias subverticillata,Asclepias subverticillata,Asclepias subverticillata,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias subverticillata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias uncialis,Asclepias uncialis,Asclepias uncialis,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias uncialis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias viridiflora,Asclepias viridiflora,Asclepias viridiflora,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias viridiflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,Plantae Tracheophyta Liliopsida Asparagales Asparagaceae Asparagus officinalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Asplenium septentrionale,Asplenium septentrionale,Asplenium septentrionale,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium septentrionale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asplenium trichomanes,Asplenium trichomanes,Asplenium trichomanes,Plantae Tracheophyta Polypodiopsida Polypodiales Aspleniaceae Asplenium trichomanes,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus agrestis,Astragalus agrestis,Astragalus agrestis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus agrestis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus australis,Astragalus australis,Astragalus australis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus australis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus bisulcatus,Astragalus bisulcatus,Astragalus bisulcatus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus bisulcatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus bodinii,Astragalus bodinii,Astragalus bodinii,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus bodinii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus canadensis,Astragalus canadensis,Astragalus canadensis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus canadensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus ceramicus,Astragalus ceramicus,Astragalus ceramicus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus ceramicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus cicer,Astragalus cicer,Astragalus cicer,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus cicer,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus crassicarpus,Astragalus crassicarpus,Astragalus crassicarpus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus crassicarpus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus drummondii,Astragalus drummondii,Astragalus drummondii,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus drummondii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Astragalus eucosmus,Astragalus eucosmus,Astragalus eucosmus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus eucosmus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus flexuosus,Astragalus flexuosus,Astragalus flexuosus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus flexuosus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
